Class,Mobility,Schooling,Schooling_3_groups,Mobility_3_groups,,,
Neoarius spp.,high,low,low,low,,,
Melanotaenia nigrans,high,high,medium,medium,,,
Oxyeleotris lineolata,low,low,low,low,,,
Strongylura krefftii,high,high,medium,medium,,,
Glossamia aprion,low,low,low,low,,,
Amniataba percoides,high,high,medium,medium,,,
Liza ordensis,high,high,medium,medium,,,
Leiopotherapon unicolor,high,high,medium,medium,,,
Melanotaenia splendida inornata,high,high,medium,medium,,,
Toxotes chatareus,high,high,medium,medium,,,
Scleropages jardinii,high,low,low,low,,,
Nematalosa erebi,high,high,medium,medium,,,
Neosilurus spp.,low,high,medium,low,,,
Lates calcarifer,high,low,medium,medium,,,
Ambassis agrammus,low,high,high,low,,,
Ambassis macleayi,low,high,high,low,,,
Mogurnda mogurnda,low,low,low,low,,,
Denariusa bandata,low,low,high,low,,,
Sycomistes butleri,high,low,medium,medium,,,
Craterocephalus sturcusmuscarum,high,high,high,medium,,,
